year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
20151,Kia,Sorento,LX,SUV,automatic,5xyktca69fg566472,ca,5,16639,white,black,kia motors america  inc,20500,21500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,automatic,5xyktca69fg561319,ca,5,9393,white,beige,kia motors america  inc,20800,21500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,BMW,3 Series,328i SULEV,Sedan,automatic,wba3c1c51ek116351,ca,45,1331,gray,black,financial services remarketing (lease),31900,30000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2015,Volvo,S60,T5,Sedan,automatic,yv1612tb4f1310987,ca,41,14282,white,black,volvo na rep/world omni,27500,27750,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2014,BMW,6 Series Gran Coupe,650i,Sedan,automatic,wba6b2c57ed129731,ca,43,2641,gray,black,financial services remarketing (lease),66000,67000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap1fn326013,ca,1,5554,gray,black,enterprise vehicle exchange / tra / rental / tulsa,15350,10900,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
2014,BMW,M5,Base,Sedan,automatic,wbsfv9c51ed593089,ca,34,14943,black,black,the hertz corporation,69000,65000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb2e7128460,ca,2,28617,black,black,enterprise vehicle exchange / tra / rental / tulsa,11900,9800,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2014,Audi,A4,2.0T Premium Plus quattro,Sedan,automatic,wauffafl3en030343,ca,42,9557,white,black,audi mission viejo,32100,32250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,LT,Convertible,automatic,2g1fb3d37e9218789,ca,3,4809,red,black,d/m auto sales inc,26300,17500,Tue Jan 20 2015 04:00:00 GMT-0800 (PST)
2014,Audi,A6,3.0T Prestige quattro,Sedan,automatic,wauhgafc0en062916,ca,48,14414,black,black,desert auto trade,47300,49750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Optima,LX,Sedan,automatic,5xxgm4a73fg353538,ca,48,2034,red,tan,kia motors finance,15150,17700,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2015,Ford,Fusion,SE,Sedan,automatic,3fa6p0hdxfr145753,ca,2,5559,white,beige,enterprise vehicle exchange / tra / rental / tulsa,15350,12000,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,automatic,5xyktca66fg561407,ca,5,14634,silver,black,kia motors america  inc,20600,21500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sbxe7120097,ca,,15686,blue,black,avis rac/san leandro,13900,10600,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap5fc124223,ca,2,11398,black,black,enterprise vehicle exchange / tra / rental / tulsa,14750,14100,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2015,,,,,,5npe24af4fh001562,ca,,8311,red,â€”,avis tra,17,17,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2014,Audi,Q5,2.0T Premium Plus quattro,SUV,automatic,wa1lfafpxea085074,ca,49,7983,white,black,audi north scottsdale,37100,40000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,LS,Coupe,automatic,2g1fa1e39e9134494,ca,17,13441,black,black,wells fargo dealer services,37100,17000,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c53ed169260,ca,34,8819,black,black,the hertz corporation,68000,67200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2015,Chevrolet,Impala,LTZ,Sedan,automatic,2g1165s30f9103921,ca,19,14538,silver,black,enterprise vehicle exchange / tra / rental / tulsa,24300,7200,Tue Jul 07 2015 09:30:00 GMT-0700 (PDT)
2014,BMW,5 Series,528i,Sedan,automatic,wba5a5c51ed501631,ca,29,25969,black,black,financial services remarketing (lease),34200,30000,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,LT,Convertible,automatic,2g1fb3d31e9134662,ca,,33450,black,black,avis rac/san leandro,20100,14700,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2015,Audi,A3,1.8 TFSI Premium,Sedan,automatic,wauacgff7f1002327,ca,49,5826,gray,black,audi north scottsdale,24000,23750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c57ed169262,ca,38,10736,black,black,the hertz corporation,67000,65000,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
2015,Hyundai,Sonata,SE,Sedan,automatic,5npe24af4fh038482,ca,,9281,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,15150,8500,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2015,Volvo,XC70,T6,Wagon,automatic,yv4902nb3f1198103,ca,42,16506,brown,brown,volvo na rep/world omni,32100,32500,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2015,XC70,T6,Wagon,automatic,yv4902nb3f1196951,ca,48,12725,beige,beige,volvo na rep/world omni,32300,32500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST),
